gene	cluster	silhouette	mean_log2_expression	log2_range	correlation_to_centroid	z_S1	z_S2	z_S3	z_S4	z_S5	z_S6	z_S7	z_S8	z_S9	log2_S1	log2_S2	log2_S3	log2_S4	log2_S5	log2_S6	log2_S7	log2_S8	log2_S9
G1	3	0.4396	14.9318	1.5448	0.9031	1.5287	1.1255	0.9602	-1.8345	-0.3895	-0.0041	-0.2428	-0.2223	-0.9213	15.6339	15.4487	15.3728	14.0891	14.7529	14.9299	14.8202	14.8296	14.5086
G2	2	0.1107	11.8983	0.3631	0.4317	1.2022	-0.6664	-0.8792	-1.4583	0.1643	1.1278	0.8047	0.9063	-1.2013	12.0623	11.8073	11.7783	11.6992	11.9207	12.0522	12.0081	12.0219	11.7343
G3	3	0.2716	14.0080	0.1447	0.6837	1.0832	1.3361	0.4439	-0.3695	-0.8476	-0.9872	1.3705	-0.8177	-1.2116	14.0687	14.0828	14.0328	13.9873	13.9605	13.9526	14.0848	13.9621	13.9401
G4	2	0.1657	11.7542	0.5921	0.8251	0.5511	1.1467	-0.7491	-1.8910	-0.8884	0.2147	1.5476	-0.0426	0.1109	11.8491	11.9516	11.6252	11.4286	11.6012	11.7912	12.0207	11.7469	11.7733
G5	3	0.4887	14.3611	0.7557	0.9379	1.6881	1.1044	0.9923	-1.6194	-0.6520	-0.0695	-0.1977	-0.4252	-0.8209	14.7468	14.6135	14.5879	13.9912	14.2122	14.3453	14.3160	14.2640	14.1736
G6	3	0.4844	12.0623	0.8619	0.9115	1.2615	1.6880	1.0110	-0.8848	-0.2951	-1.3369	-0.3582	-0.2574	-0.8280	12.4218	12.5433	12.3504	11.8102	11.9782	11.6814	11.9603	11.9890	11.8264
G7	2	0.0107	12.8840	0.5787	0.8949	1.5040	0.5075	0.1189	-2.0125	-0.6573	-0.5228	1.1125	0.4606	-0.5109	13.1315	12.9675	12.9036	12.5528	12.7758	12.7980	13.0671	12.9598	12.7999
G8	3	0.3971	12.2601	0.6090	0.8812	1.5990	0.9784	0.8838	-1.6909	-0.8576	-0.0288	0.1216	0.0400	-1.0456	12.5560	12.4412	12.4236	11.9471	12.1013	12.2547	12.2826	12.2675	12.0665
G9	3	0.2417	13.9975	1.1744	0.7646	1.5209	0.8817	0.5095	-2.1535	-0.4482	0.2846	0.2106	0.0223	-0.8280	14.4836	14.2793	14.1603	13.3092	13.8542	14.0885	14.0648	14.0046	13.7329
G10	3	0.4612	14.4880	0.4078	0.9036	1.7953	0.9755	0.7929	-1.1114	-0.6937	-0.2804	0.3124	-0.3034	-1.4872	14.7110	14.6092	14.5865	14.3499	14.4018	14.4531	14.5268	14.4503	14.3032
G11	0	0.4480	16.6553	0.6977	0.8755	-1.5960	-1.2977	-0.9902	1.0174	1.1858	1.0478	0.4795	0.1373	0.0161	16.2550	16.3298	16.4069	16.9105	16.9527	16.9181	16.7756	16.6897	16.6593
G12	3	0.2986	11.0014	0.2866	0.7903	1.0673	1.4494	0.8419	-1.2253	-0.6844	-1.2268	0.9162	-0.3579	-0.7804	11.1157	11.1566	11.0915	10.8702	10.9281	10.8700	11.0995	10.9631	10.9178
G13	2	-0.1355	11.2846	0.9496	0.8871	1.3979	1.0014	0.4566	-2.2550	-0.7079	-0.2429	0.3584	0.1707	-0.1791	11.6480	11.5449	11.4033	10.6983	11.1005	11.2214	11.3777	11.3289	11.2380
G14	3	0.2990	8.0505	1.0762	0.8148	0.7784	1.3701	1.3011	-2.0035	-0.8366	-0.2245	-0.1758	-0.1642	-0.0450	8.2988	8.4876	8.4656	7.4114	7.7836	7.9789	7.9944	7.9981	8.0362
G15	3	0.5896	11.4550	1.2644	0.9885	1.5810	1.2344	1.3047	-0.8966	-0.9270	-0.4556	-0.2236	-0.6572	-0.9601	12.2417	12.0693	12.1042	11.0089	10.9937	11.2283	11.3437	11.1280	10.9773
G16	3	0.5848	12.6855	0.9429	0.9852	1.5727	1.1836	1.2765	-1.0889	-0.8162	-0.2040	-0.4646	-0.3284	-1.1308	13.2341	13.0984	13.1308	12.3057	12.4009	12.6144	12.5235	12.5710	12.2911
G17	3	0.6047	14.6236	1.0139	0.9867	1.6545	1.2661	1.1405	-0.8590	-0.5674	-0.1397	-0.7070	-0.5927	-1.1952	15.2123	15.0741	15.0294	14.3180	14.4217	14.5739	14.3721	14.4127	14.1984
G18	3	0.6160	12.7304	1.8175	0.9963	1.5118	1.3151	1.3868	-0.7636	-0.7385	-0.5437	-0.5309	-0.7285	-0.9085	13.8657	13.7179	13.7718	12.1570	12.1758	12.3221	12.3317	12.1833	12.0481
G19	3	0.5841	12.0607	0.6132	0.9767	1.3292	1.3567	1.3623	-0.7906	-0.8512	-0.3588	-0.4583	-0.2534	-1.3358	12.3627	12.3690	12.3703	11.8810	11.8672	11.9791	11.9565	12.0031	11.7571
G20	3	0.5499	11.3881	1.2734	0.9677	1.4829	1.3375	1.3043	-1.1644	-0.4414	-0.9017	-0.3173	-0.6214	-0.6785	12.1014	12.0315	12.0155	10.8280	11.1757	10.9543	11.2355	11.0892	11.0617
G21	3	0.5547	12.6344	0.4360	0.9549	1.4584	1.2596	1.1488	-1.1607	-0.4337	0.1660	-0.6668	-0.4445	-1.3272	12.8627	12.8316	12.8143	12.4528	12.5666	12.6604	12.5301	12.5649	12.4267
G22	3	0.2393	12.7013	0.7675	0.7689	1.4615	1.0007	0.5076	-2.0442	-0.6166	0.1335	0.5761	-0.2113	-0.8073	13.0213	12.9204	12.8124	12.2537	12.5663	12.7305	12.8274	12.6550	12.5245
G23	3	0.3330	13.4647	0.4010	0.7957	1.7915	0.6568	0.5300	-1.4936	-0.6938	0.5365	0.4455	-0.4937	-1.2791	13.6834	13.5449	13.5294	13.2824	13.3800	13.5302	13.5191	13.4044	13.3085
G24	3	0.5727	12.0383	1.1303	0.9691	1.3176	1.3956	1.4270	-0.9786	-0.6982	-0.2330	-0.6725	-1.0182	-0.5397	12.6474	12.6835	12.6980	11.5860	11.7156	11.9306	11.7275	11.5677	11.7889
G25	3	0.5430	8.2921	0.9644	0.9556	1.3797	1.2961	1.2102	-1.0998	-0.9308	0.0550	-0.6711	-0.0474	-1.1918	8.8096	8.7782	8.7460	7.8797	7.9430	8.3128	8.0404	8.2744	7.8452
G26	3	0.5886	10.0365	2.1600	0.9853	1.5005	1.3133	1.3784	-1.0277	-0.6334	-0.4914	-0.6214	-0.8369	-0.5815	11.3186	11.1586	11.2142	9.1585	9.4954	9.6167	9.5056	9.3215	9.5397
G27	0	0.3068	6.7663	1.4018	0.7118	-0.2146	-1.2646	-1.6682	-0.6596	0.3624	0.5440	1.7333	0.6920	0.4754	6.6779	6.2452	6.0789	6.4945	6.9157	6.9905	7.4806	7.0515	6.9622
G28	2	-0.1467	6.4261	0.9668	0.5489	1.1132	1.0751	-0.0472	-1.9287	0.7620	-0.1405	0.0914	0.4981	-1.4234	6.7799	6.7678	6.4111	5.8131	6.6683	6.3814	6.4551	6.5844	5.9737
G29	3	0.6019	14.3710	1.1205	0.9906	1.4624	1.3903	1.3176	-0.9279	-0.6572	-0.4630	-0.3718	-0.7886	-0.9618	15.0470	15.0137	14.9801	13.9421	14.0672	14.1570	14.1992	14.0065	13.9265
G30	3	0.2478	12.1816	0.6454	0.7574	1.3472	0.7508	0.8203	-2.2780	0.0161	0.1291	-0.0017	0.0747	-0.8585	12.4215	12.3153	12.3277	11.7761	12.1845	12.2046	12.1813	12.1949	12.0288
G31	3	0.4142	11.8196	0.7550	0.8813	1.3999	1.0922	1.0233	-1.9124	-0.4019	0.2529	-0.2275	-0.3751	-0.8514	12.1387	12.0686	12.0529	11.3837	11.7280	11.8773	11.7678	11.7341	11.6256
G32	2	-0.1786	12.2815	0.3359	0.7947	1.0275	0.5640	1.3565	-2.1197	-0.1867	-0.8850	0.4020	0.3084	-0.4669	12.3808	12.3360	12.4126	12.0767	12.2635	12.1960	12.3203	12.3113	12.2364
G33	3	0.4360	13.3354	0.9363	0.8934	1.6510	0.9313	0.9305	-1.7202	-0.2964	0.0167	-0.0890	-0.2259	-1.1979	13.7939	13.5941	13.5939	12.8577	13.2531	13.3400	13.3107	13.2727	13.0027
G34	3	0.4411	12.7847	0.3684	0.8921	1.5936	1.3152	0.6114	-1.4707	-0.5949	0.1397	0.0633	-0.3584	-1.2993	12.9763	12.9429	12.8582	12.6079	12.7132	12.8015	12.7924	12.7417	12.6285
G35	3	0.4902	13.7462	1.1456	0.9323	1.5516	1.0856	1.0924	-1.5869	-0.5082	-0.0845	-0.2871	-0.1038	-1.1591	14.3126	14.1425	14.1450	13.1670	13.5607	13.7154	13.6414	13.7083	13.3231
G36	0	0.1813	7.4972	0.6282	0.5301	-0.6195	-1.0284	-0.9383	-0.0782	0.5562	2.5065	-0.0001	-0.2213	-0.1770	7.3871	7.3145	7.3305	7.4833	7.5961	7.9427	7.4972	7.4579	7.4658
G37	3	0.5976	14.0246	0.8497	0.9925	1.7098	1.2685	1.1207	-1.0037	-0.7221	-0.3966	-0.5763	-0.3740	-1.0263	14.5556	14.4185	14.3727	13.7129	13.8004	13.9015	13.8456	13.9085	13.7059
G38	0	0.4194	15.3364	0.5236	0.8248	-1.0186	-1.2615	-1.3435	-0.6571	0.6847	0.9184	1.3257	0.9503	0.4016	15.1366	15.0889	15.0729	15.2075	15.4707	15.5165	15.5964	15.5228	15.4151
G39	3	0.5168	12.5589	0.4646	0.9296	1.7326	1.4983	0.5672	-0.7007	-0.8578	-0.1540	-0.0374	-0.8211	-1.2271	12.8309	12.7941	12.6480	12.4489	12.4243	12.5348	12.5531	12.4300	12.3663
G40	3	0.5309	12.5694	0.4159	0.9623	1.4979	1.2356	1.2556	-1.1849	-0.9304	-0.5548	0.0688	-0.4618	-0.9260	12.8017	12.7610	12.7641	12.3857	12.4252	12.4834	12.5801	12.4978	12.4258
G41	2	-0.1373	7.4128	0.9820	0.8488	1.0804	0.9065	0.8763	-2.4467	-0.2216	-0.3770	0.0608	0.2254	-0.1041	7.7136	7.6651	7.6568	6.7316	7.3511	7.3078	7.4297	7.4755	7.3838
G42	3	0.5032	12.0567	0.7904	0.9264	1.5547	1.0675	1.0729	-1.4725	-0.2076	0.1273	-0.3965	-0.4351	-1.3107	12.4626	12.3354	12.3368	11.6722	12.0025	12.0899	11.9531	11.9431	11.7144
G43	2	0.0530	8.9886	0.8595	0.7439	0.1651	0.5587	0.9175	-2.5796	-0.2914	0.7753	0.3927	-0.3707	0.4324	9.0292	9.1259	9.2141	8.3546	8.9170	9.1791	9.0851	8.8975	9.0948
G44	3	0.5655	12.0089	1.1620	0.9402	1.2142	1.4424	1.2753	-0.5056	-0.2305	-0.2066	-0.6037	-0.8337	-1.5518	12.4801	12.5687	12.5038	11.8127	11.9194	11.9287	11.7746	11.6853	11.4066
G45	3	0.3880	13.4411	0.5215	0.8685	1.8040	0.7805	0.8023	-1.3643	-1.1161	-0.0905	0.4267	-0.1611	-1.0815	13.7380	13.5695	13.5731	13.2165	13.2574	13.4262	13.5113	13.4146	13.2631
G46	3	0.4625	13.7083	0.6560	0.9009	1.7146	1.2231	0.6076	-1.3643	-0.3808	-0.0361	-0.2447	-0.0622	-1.4573	14.0630	13.9613	13.8340	13.4262	13.6296	13.7009	13.6577	13.6955	13.4069
G47	3	0.6049	13.7320	1.2082	0.9729	1.3666	1.1625	1.5608	-0.5062	-0.5264	-0.3167	-0.6025	-0.8926	-1.2456	14.3204	14.2325	14.4040	13.5141	13.5054	13.5957	13.4727	13.3478	13.1958
G48	3	0.5536	14.0447	1.4260	0.9720	1.5696	1.2237	1.2022	-1.4178	-0.5280	-0.3040	-0.3741	-0.4293	-0.9423	14.7939	14.6288	14.6185	13.3679	13.7927	13.8996	13.8661	13.8397	13.5949
G49	3	0.5320	12.7561	0.7580	0.9568	1.6437	1.5117	0.8465	-1.1428	-0.7106	-0.4024	-0.1392	-0.8856	-0.7211	13.2032	13.1673	12.9864	12.4452	12.5628	12.6467	12.7182	12.5152	12.5600
