k	inertia	silhouette	calinski_harabasz	davies_bouldin	stability_ari	stability_sd
2	42542.5553	0.457253	9763.0797	0.918354	0.998270	0.000832
3	37827.3465	0.350203	6098.0107	1.635646	0.971962	0.014691
4	34788.8241	0.349777	4704.2020	1.670061	0.978708	0.006952
5	32791.6515	0.266059	3891.2883	1.791226	0.924222	0.028554
6	31191.6074	0.241177	3372.5279	1.830063	0.878584	0.127600
7	29839.8955	0.143352	3011.1346	1.967110	0.806288	0.132469
8	28739.9850	0.144297	2732.8299	1.848112	0.787884	0.119591
9	27866.6085	0.146129	2504.1463	1.843189	0.779730	0.107805
10	27105.6872	0.145435	2318.5934	1.850369	0.688852	0.125631
11	26386.7598	0.141501	2169.9500	1.790559	0.631626	0.149284
12	25794.8898	0.123910	2038.0869	1.852416	0.673539	0.109703
13	25223.6224	0.126892	1928.7719	1.868691	0.742436	0.103867
14	24728.7017	0.136044	1830.8668	1.834740	0.705211	0.126735
15	24287.7426	0.132664	1743.4260	1.820666	0.705616	0.105173
