sample_cluster	direction	rank	gene	snr	log2_fold_change	mean_log2_in_cluster	mean_log2_outside
1	up	1	G2837	12.8240	6.4946	12.2457	5.7511
1	up	2	G2428	12.1201	10.5417	14.4441	3.9024
1	up	3	G344	11.1348	1.8747	14.1079	12.2333
1	up	4	G9468	10.6217	3.0101	15.6440	12.6340
1	up	5	G6261	10.0277	2.7724	14.9853	12.2129
1	up	6	G8324	9.8418	2.5240	15.6327	13.1087
1	up	7	G5761	9.7886	5.5334	10.1036	4.5703
1	up	8	G2969	9.6359	6.6220	12.2973	5.6753
1	up	9	G7059	9.6319	3.5541	11.4070	7.8529
1	up	10	G2433	9.5070	10.3174	12.9152	2.5978
1	up	11	G6801	9.4357	5.2527	17.0275	11.7748
1	up	12	G1103	9.3253	2.2347	15.8658	13.6312
1	up	13	G8836	8.9444	4.4990	9.2219	4.7228
1	up	14	G7058	8.7449	3.2583	11.7238	8.4655
1	up	15	G2427	8.7305	6.5132	15.5786	9.0654
1	up	16	G1383	8.5920	5.8908	12.0927	6.2019
1	up	17	G3570	8.2547	3.2731	12.4399	9.1669
1	up	18	G8428	8.1665	1.7977	15.1287	13.3310
1	up	19	G8433	7.8164	2.1951	14.8742	12.6792
1	up	20	G7682	7.5609	3.1032	12.8719	9.7687
1	up	21	G2735	7.5020	3.8248	7.9842	4.1593
1	up	22	G1330	7.3567	3.0787	8.3113	5.2326
1	up	23	G9666	7.3288	2.7457	17.0080	14.2624
1	up	24	G5281	7.2840	2.4216	17.4477	15.0261
1	up	25	G7603	7.2265	4.1350	10.1436	6.0086
1	up	26	G5475	7.1818	2.0420	10.2855	8.2435
1	up	27	G117	7.0495	1.4457	14.2782	12.8325
1	up	28	G1316	7.0430	1.8120	12.3686	10.5566
1	up	29	G2970	6.8940	5.9861	12.1941	6.2079
1	up	30	G3848	6.8708	7.9103	12.7437	4.8334
1	up	31	G9697	6.7751	5.4313	12.6909	7.2596
1	up	32	G1779	6.7398	2.1706	12.9046	10.7340
1	up	33	G5021	6.6934	1.7089	13.2437	11.5348
1	up	34	G8184	6.6709	1.7163	14.9935	13.2772
1	up	35	G7279	6.6564	3.0181	13.2455	10.2274
1	up	36	G220	6.5114	3.8507	9.4666	5.6159
1	up	37	G4091	6.4798	4.9464	9.0321	4.0857
1	up	38	G8296	6.4122	2.0070	13.1947	11.1877
1	up	39	G8830	6.3112	4.7056	14.6271	9.9215
1	up	40	G8143	6.3067	1.2047	10.7581	9.5534
1	up	41	G6667	6.2829	3.8363	7.7218	3.8855
1	up	42	G1432	6.1829	1.9935	15.1807	13.1872
1	up	43	G1709	6.1587	1.8546	13.8333	11.9787
1	up	44	G4322	6.1150	1.8405	11.4028	9.5623
1	up	45	G1666	6.0924	2.2012	17.3872	15.1860
1	up	46	G85	6.0819	1.8212	13.4478	11.6265
1	up	47	G2633	6.0723	4.7961	9.3349	4.5389
1	up	48	G6812	6.0214	6.9321	8.4115	1.4794
1	up	49	G192	6.0115	1.2325	11.0179	9.7853
1	up	50	G9417	6.0054	3.5674	11.2356	7.6681
1	down	1	G2291	-8.8833	-3.5999	9.3560	12.9559
1	down	2	G4681	-8.1186	-3.4155	11.8983	15.3138
1	down	3	G8582	-8.0460	-3.2768	12.2981	15.5749
1	down	4	G1916	-8.0246	-5.1906	6.2024	11.3930
1	down	5	G4671	-7.8918	-4.0302	12.4241	16.4543
