gene_id,gene_name,chrom,start,end,strand,gene_type,baseMean,log2FoldChange,pvalue,padj
ENSG00000141510.17,TP53,chr17,7661778,7687550,-,protein_coding,2150,0.22,0.19,0.41
ENSG00000012048.23,BRCA1,chr17,43044294,43170245,-,protein_coding,480,-0.11,0.35,0.71
ENSG00000139618.15,BRCA2,chr13,32315085,32400266,+,protein_coding,210,0.05,0.74,0.88
ENSG00000146648.18,EGFR,chr7,55019016,55211628,+,protein_coding,3180,0.85,0.006,0.031
ENSG00000136997.19,MYC,chr8,127735433,127742951,+,protein_coding,1750,-1.38,0.00002,0.0004
ENSG00000133703.12,KRAS,chr12,25205245,25250936,-,protein_coding,940,-0.42,0.07,0.18
ENSG00000171862.11,PTEN,chr10,87863624,87971930,+,protein_coding,1120,0.18,0.22,0.48
ENSG00000001626.16,CFTR,chr7,117287119,117715971,+,protein_coding,15,0.11,0.44,0.68
ENSG00000130203.10,APOE,chr19,44905790,44909393,+,protein_coding,60,-0.07,0.61,0.83
ENSG00000254647.6,INS,chr11,2159778,2161341,-,protein_coding,2.1,0.30,0.17,0.40
ENSG00000244734.4,HBB,chr11,5225463,5229395,-,protein_coding,1.8,-0.05,0.68,0.90
ENSG00000141736.13,ERBB2,chr17,39687913,39730426,+,protein_coding,890,0.33,0.09,0.22
ENSG00000136244.12,IL6,chr7,22725883,22732002,+,protein_coding,340,1.15,0.0009,0.012
ENSG00000232810.4,TNF,chr6,31575564,31578336,+,protein_coding,175,0.44,0.06,0.19
ENSG00000111640.15,GAPDH,chr12,6534511,6538374,+,protein_coding,45200,0.02,0.89,0.95
ENSG00000075624.16,ACTB,chr7,5527147,5563784,-,protein_coding,62100,-0.03,0.82,0.91
ENSG00000121879.5,PIK3CA,chr3,179148113,179240093,+,protein_coding,1290,-0.55,0.03,0.09
ENSG00000142208.16,AKT1,chr14,104769348,104795751,-,protein_coding,2050,-0.71,0.003,0.021
ENSG00000168610.14,STAT3,chr17,42313323,42388568,-,protein_coding,1680,-0.48,0.012,0.045
ENSG00000198793.13,MTOR,chr1,11106534,11262551,-,protein_coding,980,-0.38,0.05,0.14
ENSG00000147889.17,CDKN2A,chr9,21967752,21995301,-,protein_coding,610,0.68,0.008,0.037
ENSG00000139687.15,RB1,chr13,48303725,48599436,+,protein_coding,720,0.15,0.27,0.51
ENSG00000134853.12,PDGFRA,chr4,54229279,54298245,+,protein_coding,305,-0.19,0.31,0.55
ENSG00000171094.18,ALK,chr2,29192773,29921586,-,protein_coding,42,0.08,0.58,0.79
ENSG00000157764.13,BRAF,chr7,140719326,140924928,-,protein_coding,1050,-0.31,0.12,0.29
ENSG00000213281.5,NRAS,chr1,114704468,114716771,-,protein_coding,880,-0.14,0.38,0.62
ENSG00000135679.25,MDM2,chr12,68808176,68850686,+,protein_coding,1340,-0.29,0.14,0.33
ENSG00000135446.17,CDK4,chr12,57747726,57756013,-,protein_coding,1580,-0.95,0.0015,0.008
